Colleges,Exam
Sheila Raheja School of Business Management And Research,MAH-CET
Department of Business Management C. P. & Berar E.S. College,MAH-CET
North Maharashtra University- School of Management Studies,MAH-CET
Atharva Group Of Institutions,MAH-CET
Chetana'S R. K. Group Of Institutions,MAH-CET
"National Institute of Management (NIM), Mumbai",CMAT
"Gian Jyoti Institute of Management and Technology, Mohali",CMAT
"Prestige Institute of Management (PIM), Gwalior",CMAT
SP Jain Institute of Management and Research,CMAT
JNC bangalore,CMAT
"Prince Institute of Innovative Technology (PIIT), Greater Noida",CMAT
Punjab Institute of Management & Technology,CMAT
"Great Lakes Institute of Management, Chennai",CMAT
LPU,CMAT
Goa Institute of Management,CMAT
"International Management Institute (IMI), New Delhi",CMAT
Central University of Rajasthan,CMAT
Lucky Institute of Professional Studies,CMAT
MICA Ahmedabad,CMAT
KASC Erode,CMAT
Global Institute of Management Science,CMAT
KJ SOMAIYA Mumbai,CMAT
XIM University,CMAT
"Jaipuria Institute of Management (JIM), Noida",CMAT
Aryans Group Of Colleges,CMAT
Braj institute of management & technology,CMAT
"Institute of Rural Management (IRMA), Anand",CMAT
Siliguri Institute of Technology,CMAT
Shrimad Rajchandra Institute of Management and Computer Application,CMAT
COCAS Patna,CMAT
Shree Ram Mulkh Institute of Engineering and Technology,CMAT
SKCET Coimbatore,CMAT
"Great Lakes Institute of Management (GLIM, GLIM Gurgaon), Gurgaon",CMAT
Dr IT Business School,CMAT
Chitkara University Patiala,CMAT
IIM Ahmedabad,CAT
NIT Mangalore,CAT
IIM Bangalore,CAT
IIM Kozhikode,CAT
IIM Calcutta,CAT
LPU,CAT
IIM Lucknow,CAT
NIT Trichy,CAT
IIM Mumbai,CAT
IIM Indore,CAT
Amity School of Communication,CAT
IIT Bombay,CAT
IIM Raipur,CAT
MDI Gurgaon,CAT
IIT Madras,CAT
"Gian Jyoti Institute of Management and Technology, Mohali",CAT
IIM Udaipur,CAT
IIT Roorkee,CAT
SP Jain Institute of Management and Research,CAT
IIM Trichy,CAT
IIM Ranchi,CAT
IIM Shillong,CAT
IIM Visakhapatnam,CAT
"Great Lakes Institute of Management, Chennai",CAT
Goa Institute of Management,CAT
"International Management Institute (IMI), New Delhi",CAT
NIT Jalandhar,CAT
MICA Ahmedabad,CAT
IMT Ghaziabad,CAT
ATM Global Business School,CAT
NIT Trichy,JEE Mains
IIT Madras,JEE Mains
IIT Delhi,JEE Mains
IIT Bombay,JEE Mains
IIT Kanpur,JEE Mains
Dr. Ambedkar Institute of Hotel Management Catering and Nutrition,JEE Mains
IIT Roorkee,JEE Mains
NIT Calicut,JEE Mains
IIT Kharagpur,JEE Mains
IIT Guwahati,JEE Mains
IIT Hyderabad,JEE Mains
IIT Indore,JEE Mains
IIT BHU,JEE Mains
Haryana College of Technology and Management,JEE Mains
IIT Gandhinagar,JEE Mains
IIT Ropar,JEE Mains
LCET Ludhiana,JEE Mains
IIT Mandi,JEE Mains
Indian Institute of Engineering Science and Technology,JEE Mains
MNIT Jaipur,JEE Mains
NIT Silchar,JEE Mains
IIT Patna,JEE Mains
NIT Durgapur,JEE Mains
NIT Jalandhar,JEE Mains
IIT Bhubaneswar,JEE Mains
MNNIT Allahabad,JEE Mains
NIT Delhi,JEE Mains
IIIT Hyderabad,JEE Mains
NIT Patna,JEE Mains
NIT Kurukshetra,JEE Mains
IIT Tirupati,JEE Mains
"Netaji Subhas University of Technology (NSUT), New Delhi",JEE Mains
SVNIT Surat,JEE Mains
NIT Raipur,JEE Mains
NIT Meghalaya,JEE Mains
IIIT Delhi,JEE Mains
NIT Srinagar,JEE Mains
GICTS Gwalior,JEE Mains
NIT Jamshedpur,JEE Mains
NIT Agartala,JEE Mains
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture",JEE Mains
IIIT Guwahati,JEE Mains
VJTI,JEE Mains
New Horizon Educational Institutions,JEE Mains
Nirma University,JEE Mains
NIT Hamirpur,JEE Mains
NIT Puducherry,JEE Mains
Cambridge Engineering College,JEE Mains
Guru Nanak Institute of Pharmaceutical Science And Technology,JEE Mains
Dr. B.C. Roy College Of Pharmacy & Allied Health,JEE Mains
Silicon Institute of Technology,JEE Mains
IEM Kolkata,JEE Mains
"Army Institute of Technology (AIT), Pune",JEE Mains
SGSITS Indore,JEE Mains
IIITDM Kancheepuram,JEE Mains
YCCE Nagpur,JEE Mains
GMR Institute of Technology,JEE Mains
KJ Somaiya College of Engineering,JEE Mains
Parul University,JEE Mains
IIT Jodhpur,JEE Mains
JECRC University,JEE Mains
Vivekananda Global University,JEE Mains
Royal Global University,JEE Mains
"Lakshmi Narain College of Technology & Science (LNCTS), Bhopal",JEE Mains
Manav Rachna University,JEE Mains
JSSATE Noida,JEE Mains
Narula Institute of Technology Kolkata,JEE Mains
GKV Haridwar,JEE Mains
HBTU Kanpur,JEE Mains
IIITDM Jabalpur,JEE Mains
Haldia Institute of Technology,JEE Mains
Quantum University,JEE Mains
Oriental University Indore,JEE Mains
IIIT Nagpur,JEE Mains
"GITAM (Deemed To Be University) (GITAMST), Hyderabad",JEE Mains
VIIT Pune,JEE Mains
MITS Gwalior,JEE Mains
"Indian Institute of Information Technology (IIIT), Ranchi",JEE Mains
KKWIEER Nashik,JEE Mains
TCET Mumbai,JEE Mains
IIIT Vadodara,JEE Mains
Sushant University,JEE Mains
SATI Vidisha,JEE Mains
Gandhi Institute for Technological Advancement,JEE Mains
NIT Mizoram,JEE Mains
"Indian Institute of Information Technology (IIIT), Vadodara",JEE Mains
SKIT Jaipur,JEE Mains
IPSA Indore,JEE Mains
IIIT Una,JEE Mains
IIIT Dharwad,JEE Mains
"Acropolis Institute of Technology and Research (AITR), Indore",JEE Mains
"Asansol Engineering College (AEC), Asansol",JEE Mains
IIIT Sri City,JEE Mains
IIIT Kalyani,JEE Mains
IIIT Kota,JEE Mains
RCOEM Nagpur,JEE Mains
Dev Bhoomi Uttarakhand University,JEE Mains
Nri Group Of Institutions,JEE Mains
Baddi University,JEE Mains
IIITDM Kurnool,JEE Mains
MCKV Institute of Engineering,JEE Mains
St. Francis Institute of Technology,JEE Mains
Atmiya University,JEE Mains
Malwa Institute of Technology,JEE Mains
PERI Institute of Technology,JEE Mains
"Avanthi Institute of Engineering & Technology (AIET), Hyderabad",JEE Mains
Regent Education and Research Foundation,JEE Mains
Siliguri Institute of Technology,JEE Mains
NRIITM Gwalior,JEE Mains
Trident Academy of Technology,JEE Mains
"National Institute of Science and Technology, Berhampur",JEE Mains
Gulzar Group of Institutes Ludhiana,JEE Mains
UEC Ujjain,JEE Mains
MIT Pune,JEE Mains
Dronacharya Group of Institutions,JEE Mains
Symbiosis Institute of Technology,JEE Mains
Budge Budge Institute of Technology,JEE Mains
Trinity Institute of Technology & Research,JEE Mains
"Guru Nanak Dev Engineering College (GNDEC), Ludhiana",JEE Mains
College of Technology,JEE Mains
Bharat Technology,JEE Mains
Haridwar University,JEE Mains
RIT Roorkee,JEE Mains
SAMCET Bhopal,JEE Mains
"Ahmedabad Institute of Technology (AIT), Ahmedabad",JEE Mains
Sant Baba Bhag Singh University,JEE Mains
People'S University,JEE Mains
SIRT Bhopal,JEE Mains
NSHM Durgapur,JEE Mains
Bengal School of Technology,JEE Mains
Bhai Gurdas Group Of Institutions,JEE Mains
"Rajasthan College of Engineering for Women, Jaipur",JEE Mains
Calcutta Institute of Engineering and Management,JEE Mains
"University Institute of Engineering and Technology (UIET), Kurukshetra",JEE Mains
Sardar Patel Institute of Technology,JEE Mains
Eastern Academy Of Science And Technology,JEE Mains
"Government College Of Engineering (GCE), Kalahandhi",JEE Mains
"Gandhi Engineering College, Bhubaneswar",JEE Mains
SOCET Ahmedabad,JEE Mains
"Birla Institute of Technology (BIT Jaipur), Jaipur",JEE Mains
JBIT Dehradun,JEE Mains
Bharath Institute of Higher Education And Research,JEE Mains
Mandsaur University,JEE Mains
Jaipur Engineering College,JEE Mains
Mangalmay Group of Institutions,JEE Mains
Ideal Institute Of Engineering,JEE Mains
OIST Bhopal,JEE Mains
BCDA College of Pharmacy and Technology,JEE Mains
Manakula Vinayagar Institute Of Technology,JEE Mains
PIET Panipat,JEE Mains
"Government Engineering College (GEC), Gandhinagar",JEE Mains
Camellia Institute of Technology,JEE Mains
GIET Bhubaneswar,JEE Mains
Gargi Memorial Institute of Technology,JEE Mains
Maya Devi University,JEE Mains
St. Johns College,JEE Mains
Shri Bhawani Niketan Institute of Technology & Management,JEE Mains
"Netaji Subhas Institute Of Technology (NSIT), Patna",JEE Mains
Bengal Institute of Technology,JEE Mains
Academy of Technology,JEE Mains
Aryans Group Of Colleges,JEE Mains
Echelon Institute of Technology,JEE Mains
Global Institute of Technology,JEE Mains
SVPCET Nagpur,JEE Mains
"A.D.Patel Institute Of Technology (ADIT), Anand",JEE Mains
Usha Mittal Institute of Technology,JEE Mains
Nalanda Institute of Technology,JEE Mains
Jagannath Institute of Engineering & Technology,JEE Mains
OmDayal Group Of Institutions,JEE Mains
Roland Institute of Technology,JEE Mains
Calcutta Institute of Technology,JEE Mains
GRD Dehradun,JEE Mains
Global Institutes,JEE Mains
CGC Jhanjeri,JEE Mains
LDRP Institute of Technology and Research,JEE Mains
CCA Chandigarh,JEE Mains
VNS Group of Institutions,JEE Mains
"Ajay Binay Institute of Technology (ABIT), Cuttack",JEE Mains
"Modern Institute of Engineering & Technology (MIET), Hooghly",JEE Mains
Vadodara Institute of Engineering,JEE Mains
Kalam Institute of Technology,JEE Mains
Einstein Academy of Technology and Management,JEE Mains
UIIT Shimla,JEE Mains
Gupta College of Technological Sciences,JEE Mains
Central Institute of Plastics Engineering & Technology,JEE Mains
REC Rewa,JEE Mains
Dream Institute of Technology,JEE Mains
"Rajiv Gandhi Institute of Technology (RGIT), Bangalore",JEE Mains
CCET Chandigarh,JEE Mains
Gandhinagar Institute of Technology,JEE Mains
OEC Bhubaneswar,JEE Mains
SDBCT Indore,JEE Mains
Birla Vishvakarma Mahavidyalaya,JEE Mains
Baba Farid Group of Institutions,JEE Mains
IPS Gwalior,JEE Mains
Bankura Unnayani Institute of Engineering,JEE Mains
"Abacus Institute of Engineering & Management, Hooghly",JEE Mains
TIT&S Bhiwani,JEE Mains
Rajasthan Institute of Engineering and Technology,JEE Mains
School of Engineering,JEE Mains
Truba Group Of Institutes,JEE Mains
Future Institute of Technology,JEE Mains
Swami Sarvanand Institute of Engineering and Technology,JEE Mains
Shankersinh Vaghela Bapu Institute of Technology,JEE Mains
"National Power Training Institute (NPTI), Durgapur",JEE Mains
BCET Balasore,JEE Mains
"Apollo Institute of Engineering and Technology (AIET), Ahmedabad",JEE Mains
Gandhi Institute for Education and Technology,JEE Mains
Sri Aurobindo Institute of Technology,JEE Mains
DIATM Durgapur,JEE Mains
GRT Institute of Engineering and Technology,JEE Mains
GITM Gurgaon,JEE Mains
Birla Institute Of Applied Sciences,JEE Mains
"University Institute of Engineering and Technology (UIET), Rohtak",JEE Mains
GEC Gwalior,JEE Mains
St. Mary's Technical Campus,JEE Mains
"Aditya Group Of Institutions (ACTS), Satna",JEE Mains
"The ICFAI University (IUHimachal), Baddi",JEE Mains
Rawal Institute of Engineering and Technology,JEE Mains
MIMIT Malout,JEE Mains
Saroj Mohan Institute of Technology,JEE Mains
WCTM Gurgaon,JEE Mains
Birbhum Institute of Engineering & Technology,JEE Mains
Mallabhum Institute of Technology,JEE Mains
Malla Reddy Institute of Technology and Science,JEE Mains
Sanghvi Institute of Management and Science,JEE Mains
LNCT Bhopal Indore Campus,JEE Mains
IES Group of Institutions,JEE Mains
NSEC Kolkata,JEE Mains
Vedang Institute of Technology,JEE Mains
SMIT Berhampur,JEE Mains
PMEC Berhampur,JEE Mains
Shivajirao Kadam Group of Institution,JEE Mains
Narnarayan Shastri Institute of Technology,JEE Mains
Konark Institute of Science and Technology,JEE Mains
Geetanjali Institute of Technical Studies,JEE Mains
"Astral Institute of Technology and Research (AITR), Indore",JEE Mains
GBPEC Pauri,JEE Mains
RGI Bhopal,JEE Mains
Devraj Institute of Management and Technology,JEE Mains
Koustuv Group of Institutions,JEE Mains
KIIT Gurgaon,JEE Mains
GGITS Jabalpur,JEE Mains
BCET Gurdaspur,JEE Mains
KEC Bhubaneswar,JEE Mains
SVCST Bhopal,JEE Mains
"Lakshmi Narain College of Technology (LNCT), Jabalpur",JEE Mains
Neotia Institute of Technology Management and Science,JEE Mains
GITAM Bhubaneswar,JEE Mains
Dumkal Institute of Engineering and Technology,JEE Mains
Balaji Institute of Technology,JEE Mains
DAVIET Jalandhar,JEE Mains
Bhadrak Institute of Engineering & Technology,JEE Mains
Techno India NJR Institute of Technology,JEE Mains
DCE Gurgaon,JEE Mains
JPIET Meerut,JEE Mains
Yamuna Group of Institutions,JEE Mains
IET Bhaddal Technical Campus,JEE Mains
ICEM Pune,JEE Mains
Shree Swami Atmanand Saraswati Institute of Technology,JEE Mains
Darshan Institute of Engineering & Technology,JEE Mains
Radhakrishna Institute of Technology and Engineering,JEE Mains
PIEMR Indore,JEE Mains
MIST Indore,JEE Mains
NITM Gwalior,JEE Mains
Shri Balwant Institute of Technology,JEE Mains
Punjab Group Of Colleges,JEE Mains
"Advanced Institute Of Technology And Management (AITM), Palwal",JEE Mains
SSEC Bhavnagar,JEE Mains
DIET Dehradun,JEE Mains
Apex Institute of Technology and Management,JEE Mains
Vikrant Institute of Technology and Management,JEE Mains
Modern Institute of Technology and Management,JEE Mains
BUIT Bhopal,JEE Mains
DJMIT Anand,JEE Mains
Matu Ram Institute of Engineering & Management,JEE Mains
Jawaharlal Institute Of Technology,JEE Mains
NIET Alwar,JEE Mains
"Sri Sai Group Of Institutes (SIET), Amritsar",JEE Mains
"Sri Sai Group of Institutes (SIM), Pathankot",JEE Mains
BCREC Durgapur,JEE Mains
"Adesh Institute of Engineering and Technology (AIET), Faridkot",JEE Mains
"Adina Institute of Science & Technology (AIST), Sagar",JEE Mains
Majhighariani Institute Of Technology & Science,JEE Mains
GURUKUL Kota,JEE Mains
SIEM Siliguri,JEE Mains
"Alpine Institute of Technology (AIT), Ujjain",JEE Mains
SVITS Indore,JEE Mains
Swami Vivekananda Group of Institutions,JEE Mains
Swami Vivekanand Group of Institutes,JEE Mains
Krishna Chaitanya Institute of Technology And Sciences,JEE Mains
MEC Bikaner,JEE Mains
GNIET Nagpur,JEE Mains
REC Bhubaneswar,JEE Mains
NIGAM Institute of Engineering & Technology,JEE Mains
AIET Bhubaneswar,JEE Mains
"Aman Bhalla Institute of Engineering and Technology (ABIET), Pathankot",JEE Mains
Laxmipati Group of Institutions,JEE Mains
IST Chandrakona,JEE Mains
SUBAS Institute of Technology,JEE Mains
DIAS Delhi,JEE Mains
JMIT Yamunanagar,JEE Mains
"Synergy Institute Of Technology (SIT), Bhubaneswar",JEE Mains
Om Group Of Institutions,JEE Mains
Ramanand Institute of Pharmacy and Management,JEE Mains
Geeta Institute of Management and Technology,JEE Mains
VGEC Ahmedabad,JEE Mains
Asia Pacific Institute of Information Technology,JEE Mains
GIACR Rayagada,JEE Mains
TULAS INSTITUTE Dehradun,JEE Mains
Shibani Institute of Technical Education,JEE Mains
Indic Institute of Design and Research,JEE Mains
VITS Bhopal,JEE Mains
JNIT Jaipur,JEE Mains
Gwalior Institute of Information Technology,JEE Mains
Sarvottam Institute of Technology and Management,JEE Mains
Sri Sukhmani Group of Institutions,JEE Mains
Chitkara University Solan,JEE Mains
Calcutta Institute of Pharmaceutical Technology and Allied Health Sciences,JEE Mains
Gateway Education,JEE Mains
Regency Institute of Technology,JEE Mains
Seemant Institute of Technology,JEE Mains
Ghanashyam Hemalata Institute of Technology and Management,JEE Mains
DMCE Mumbai,JEE Mains
Driems University,JEE Mains
Dr. K.N Modi Foundation,JEE Mains
Bhagwant Group Of Institutions,JEE Mains
Asra Group Of Institutions,JEE Mains
KITS Nagpur,JEE Mains
DPCOE Pune,JEE Mains
MEMS Balasore,JEE Mains
St. Aloysius Institute of Technology,JEE Mains
"Anjuman College of Engineering & Technology (ACET), Nagpur",JEE Mains
"Bhubaneswar Engineering College, Bhubaneswar",JEE Mains
SAKEC Mumbai,JEE Mains
Shaheed Udham Singh Group Of Institutions,JEE Mains
"Aravali College of Engineering and Management (ACEM), Faridabad",JEE Mains
SIEM Nashik,JEE Mains
LKCT Indore,JEE Mains
DCMTE Dehradun,JEE Mains
RGPM Bhopal,JEE Mains
Shri Yogindra Sagar Institute of Technology and Science,JEE Mains
Bis Group Of Institutions,JEE Mains
HKBK bangalore,JEE Mains
ECK Kota,JEE Mains
JDCOEM Nagpur,JEE Mains
MGITER Navsari,JEE Mains
Baba Hira Singh Bhattal Institute of Engineering and Technology,JEE Mains
BITS Gwalior,JEE Mains
"Patel Group of Institutions, Indore",JEE Mains
HARYANA INSTITUTE OF TECHNOLOGY,JEE Mains
"St. Thomas College of Engineering and Technology (STCET), Kolkata",JEE Mains
Sal Education Campus,JEE Mains
Prashanti Group Of Institutes,JEE Mains
College of Basic Sciences and Humanities,JEE Mains
Sree Sastha Group of Institutions,JEE Mains
PCMT Kolkata,JEE Mains
KITM Kurukshetra,JEE Mains
Samanta Chandra Sekhar Institute of Technology and Management,JEE Mains
Kalol Institute Of Technology & Research Centre,JEE Mains
"Adesh Institute Of Technology (AIT), Mohali",JEE Mains
Tatva Institute of Technological Studies,JEE Mains
BPPIMT Kolkata,JEE Mains
GGCT Jabalpur,JEE Mains
SCE Dehradun,JEE Mains
NIETM Nagpur,JEE Mains
Gurukul Vidyapeeth Institute of Engineering & Technology,JEE Mains
Bansal Institute of Research And Technology,JEE Mains
Continental Institute of Engineering & Technology,JEE Mains
IITM Murthal Sonepat,JEE Mains
Laljibhai Chaturbhai Institute of Technology,JEE Mains
"Guru Nanak Institute Of Engineering And Management (GNIEM), Hoshiarpur",JEE Mains
SRCT Bhopal,JEE Mains
Premier Institute of Technology,JEE Mains
Maharishi Arvind International Institute of Technology,JEE Mains
Suddhananda Engineering & Research Centre,JEE Mains
MRCET Hyderabad,JEE Mains
Camellia Group Of Colleges,JEE Mains
RIT Indore,JEE Mains
KEC Chennai,JEE Mains
PKTC Pune,JEE Mains
SKSITS Indore,JEE Mains
CSET Barasat,JEE Mains
GSCE Sagar,JEE Mains
NIMT Jaipur,JEE Mains
APGSU Shimla,JEE Mains
"Bharat Institute of Technology (BIT), Sonepat",JEE Mains
TITE Khurda,JEE Mains
Ipcowala Institute Of Engineering And Technology,JEE Mains
THDC IHET Tehri,JEE Mains
SIST Bhopal,JEE Mains
HCE Sonepat,JEE Mains
BKIT Kota,JEE Mains
MERI Bahadurgarh,JEE Mains
CKPCET Surat,JEE Mains
HEC Jagadhri,JEE Mains
"Arya College of Engineering & Research Centre (ACERC), Jaipur",JEE Mains
"Maharaja Agarsain Institute of Technology (MAIT), Ghaziabad",JEE Mains
BCET Ludhiana,JEE Mains
NRI Gwalior,JEE Mains
CEM Kapurthala,JEE Mains
"Government Engineering College (GECM), Modasa",JEE Mains
Mahatma Gandhi Institute of Engineering & Management,JEE Mains
BMIET Sonepat,JEE Mains
IMEC Sagar,JEE Mains
SSEC Bhilai,JEE Mains
"Techno India (TIB), Howrah",JEE Mains
DEC Faridabad,JEE Mains
"Hi-Tech Institute of Technology (HIT), Bhubaneswar",JEE Mains
GGU Bilaspur,JEE Mains
SITMS Ratlam,JEE Mains
Radhaswami Institute of Technology,JEE Mains
"Anand College of Engineering & Management, Kapurthala",JEE Mains
Bapu Institute of Technology and Management,JEE Mains
Sanghvi Innovative Academy,JEE Mains
JDCT Indore,JEE Mains
SGBMITS Jabalpur,JEE Mains
Mathura Devi Institute of Technology & Management,JEE Mains
CEC Bhubaneswar,JEE Mains
MRCE Faridabad,JEE Mains
OIMT Damoh,JEE Mains
GCE Gurgaon,JEE Mains
KVCET Chennai,JEE Mains
Shri Balaji Institute of Technology and Management,JEE Mains
Regional Group Of Colleges,JEE Mains
Bishamber Sahai Group Of Institutes,JEE Mains
Vivekananda Institute of Technology (East) Jaipur,JEE Mains
Kanksa Academy of Technology & Management,JEE Mains
NBNSSOE Pune,JEE Mains
Sehgal Institute of Studies,JEE Mains
"Apollo Engineering College (AEC), Chennai",JEE Mains
Bahra Faculty of Engineering,JEE Mains
SAEC Chennai,JEE Mains
BDCET Jharsuguda,JEE Mains
RIMT Institute of Engineering & Technology,JEE Mains
Rayat & Bahra Institute of Engineering & Bio-Technology,JEE Mains
SCET Bhopal,JEE Mains
Sakshi Institute Of Technology & Management,JEE Mains
Modern College of Engineering,JEE Mains
MPCTM Gwalior,JEE Mains
Kamla Kant Institute of Technology and Management,JEE Mains
BCETW Durgapur,JEE Mains
UVPCE Mehsana,JEE Mains
NETES Institute of Technology and Science,JEE Mains
FCET Ferozepur,JEE Mains
Surajmal Laxmi Devi Sawarthia Educational Trust,JEE Mains
SPCET Mohali,JEE Mains
SAEC Ramanathapuram,JEE Mains
CCT Bhopal,JEE Mains
Greater Kolkata College Of Engineering and Management,JEE Mains
SSCE Udaipur,JEE Mains
RN MODI Kota,JEE Mains
Swasthya Kalyan Technical Campus,JEE Mains
Darsh Institute of Engineering & Technology,JEE Mains
BIEMS Kolkata,JEE Mains
NCIT Panipat,JEE Mains
TIT Bhopal,JEE Mains
Shri Baba Mast Nath Group Of Institutes,JEE Mains
Puran Murti Campus,JEE Mains
N.C Group Of Institutes,JEE Mains
Mittal Group Of Colleges,JEE Mains
Laxmi Group Of Institutes,JEE Mains
Kopal Group Of Colleges,JEE Mains
Goel Group of Institutions,JEE Mains
Gandhi Group Of Institutes,JEE Mains
Gandhi Group Of Colleges,JEE Mains
Disha Group Of Institutes,JEE Mains
Devprayag Group Of Institutions,JEE Mains
"Christ College Of Engineering & Technology (CCET), Puducherry",JEE Mains
Bsaie Group Of Institutions,JEE Mains
Beehive College,JEE Mains
Bennett University,JEE Mains
Carmel College of Engineering & Technology,JEE Mains
Jagadambha College of Engineering & Technology Yavatmal,JEE Mains
Sipna College of Engineering & Technology Amravati,JEE Mains
Parvatibai Genba Moze College of Engineering Pune,JEE Mains
Seemanta Engineering College,JEE Mains
Rajeev Gandhi Memorial College of Engineering and Technology Kurnool,JEE Mains
Dr. Sudhir Chandra Sur Institute of Technology and Sports Complex,JEE Mains
School of Engineering & Technology - Bahra University,JEE Mains
CV Raman Global University,JEE Mains
Panchkula Engineering College,JEE Mains
Jabalpur Engineering College,JEE Mains
School of Petroleum Technology,JEE Mains
Dr. Rizvi College of Engineering,JEE Mains
Sachdeva Engineering College for Girls,JEE Mains
Centre for Management Studies - Orissa Engineering College,JEE Mains
Bhai Maha Singh College of Engineering,JEE Mains
Shri J. M. Sabva Institute Of Engineering & Technology,JEE Mains
Lukhdhirji Engineering College,JEE Mains
GIDC Degree Engineering College,JEE Mains
School of Engineering and Sciences,JEE Mains
Jan Nayak Chaudhary Devi Lal Memorial College of Engineering Sirsa,JEE Mains
Srinix College of Engineering Balasore,JEE Mains
Satyasai Engineering College,JEE Mains
Hi-Tech College of Engineering Bhubaneswar,JEE Mains
"Azmet College of Engineering and Technology (ACET), Patna",JEE Mains
"Ambala College Of Engineering and Applied Research (ACEAR), Ambala",JEE Mains
"Government Engineering College (GEC), Palanpur",JEE Mains
"University College of Engineering (UCE), Patiala",JEE Mains
Lyallpur Khalsa College of Engineering Ludhiana,JEE Mains
Guru Teg Bahadur Khalsa Institute of Engineering and Technology,JEE Mains
Guru Ram Dass Institute of Engineering and Technology,JEE Mains
"Adarsha College of Engineering (ACOE), Angul",JEE Mains
"Institute of Technology (IOT), Chamoli",JEE Mains
Bipin chandra Tripathi Kumaon Institute of Technology,JEE Mains
