Colleges,State
PSC Patna,['Bihar']
Ramdayalu Singh College,['Bihar']
Maltidhari College,['Bihar']
SXCMT Patna,['Bihar']
BSC NURSING COLLEGE JLNMCH BHAGALPUR,['Bihar']
Jawahar Lal Nehru Medical College & Hospital,['Bihar']
"Maharshi Menhi Homoeopathic Medical College And Hospital, Katihar",['Bihar']
"R. Y. Manihari  College, Manihari",['Bihar']
JANNAYAK KARPURI THAKUR MEDICAL COLLEGE AND HOSPITAL MADHEPURA,['Bihar']
Government Ayurvedic College,['Bihar']
NETAJI SUBHAS MEDICAL COLLEGE AND HOSPITAL,['Bihar']
"Bihar Veterinary College, Patna",['Bihar']
Parmarth Institute of Teacher's Education,['Bihar']
Siwan Engineering College & Technical Institute,['Bihar']
AM College Gaya,['Bihar']
"Vidya Bhawan Mahila Mahavidyalaya (VBMM), Chhapra",['Bihar']
Rajendra Mishra College,['Bihar']
RNC Hajipur,['Bihar']
MLT Saharsa,['Bihar']
Sher Shah College,['Bihar']
"Institute of Hotel Management (IHM), Hazipur",['Bihar']
Maharaja College,['Bihar']
Magadh Professional Institute,['Bihar']
Jai Prakash College,['Bihar']
LNMCBM Patna,['Bihar']
"Arcade Business College, Patna",['Bihar']
VIBRM Muzaffarpur,['Bihar']
Mahadeo Singh College,['Bihar']
Veerayatan B.Ed. College,['Bihar']
Ram Krishna Dwarika College,['Bihar']
VBCE Bhagalpur,['Bihar']
Lok Manya Bal Gangadhar Tilak College,['Bihar']
Ganga Global Institute of Teacher Education,['Bihar']
Rajendra Memorial Women's College,['Bihar']
K.P. College,['Bihar']
Magadh Teacher Training's B.Ed College,['Bihar']
Ramesh Jha Mahila College,['Bihar']
M P College of Education,['Bihar']
Mahant Darshan Das Mahila College,['Bihar']
MCTE Patna,['Bihar']
RK College Madhubani,['Bihar']
"Ram Lakhan Singh Yadav College (RLSYC), Aurangabad(Bh)",['Bihar']
Maitreya College of Education and Management,['Bihar']
B.R. Degree College,['Bihar']
B.N. College Of Education,['Bihar']
MTTC Madhubani,['Bihar']
Prabhunath College,['Bihar']
Tarkeshwar Narain Agrawal Teachers' Training College,['Bihar']
Sri Narayan Singh College,['Bihar']
B. S. College,['Bihar']
B. M. A. College,['Bihar']
C M College,['Bihar']
Nalanda College,['Bihar']
S.B. College,['Bihar']
GDM College Harnaut,['Bihar']
G.B.M College,['Bihar']
Hari Narayan Singh Institute of Teachers Education,['Bihar']
"Sardar Vallabh Bhai Patel College (SVPC), Kaimur (Bhabua)",['Bihar']
M.P. Sinha Science College,['Bihar']
"College of Teacher Education (CTE), Darbhanga",['Bihar']
College of Arts & Crafts,['Bihar']
Maha Bodhi Teacher's Training College,['Bihar']
Shivam College of Higher Studies,['Bihar']
Patel College of Education,['Bihar']
K.S. College of Professional Education,['Bihar']
"Awadh Bihari Singh College (ABSC), Vaishali",['Bihar']
Trident B.Ed. College,['Bihar']
WTC Patna,['Bihar']
Gorakh Singh College,['Bihar']
MTTC Madhubani,['Bihar']
Badri Narayan college,['Bihar']
Mahesh Singh B.Ed College,['Bihar']
Rameshwar Singh Teachers Training College,['Bihar']
"Primary Teachers Education College (PTEC), Patna",['Bihar']
Raghu Saroj Welfare and Charitable Trust. B.Ed. College,['Bihar']
Sri Krishna Manorama Shikshak Prashikshan Mahavidyalaya,['Bihar']
Dr. Gouri-Brahmanand Teachers Training College,['Bihar']
Modern Institute of Higher Education,['Bihar']
Radha Krishna Sikaria Educational Institution B.Ed College,['Bihar']
Maulana Mazharul Haque Teachers Training College,['Bihar']
"Nalanda Mahila Shikshak Prashikshan Mahavidyalaya (NMSPM), Nalanda",['Bihar']
S.P. Singh College of Teacher Education,['Bihar']
Primary Teacher Education College,['Bihar']
Sattar Memorial College of Education,['Bihar']
GRTTC Nawada,['Bihar']
G.N.S Teacher's Training College,['Bihar']
Sant Maalik Memorial Institute,['Bihar']
MMA Dayal Singh TT College,['Bihar']
Devendra Pathak Sarvodaya College of Education Gaya,['Bihar']
Badsah Prasad Azad College of Education,['Bihar']
Ram Kripal Singh Teacher Training College (B.Ed. College),['Bihar']
Maurya College,['Bihar']
Ramrup Prasad B.Ed. College,['Bihar']
Patliputra Teachers' Training College,['Bihar']
RTTC Patna,['Bihar']
Patliputra College of computer Science and Management,['Bihar']
S.A. college of Education,['Bihar']
Shri Bhagwat Prasad Singh Memorial B.Ed College,['Bihar']
Matri Prem College of Education,['Bihar']
Jageshwar Ray Arti B.Ed. College,['Bihar']
Guru Prakash B.Ed. College,['Bihar']
Scholars College Of Education,['Bihar']
Kamleshwari Prasad Singh Teacher Training College,['Bihar']
"Allama Iqbal Teachers Training College (AITTC), Gaya",['Bihar']
Radhe Shyam Teachers Training College,['Bihar']
Maa Bachan Devi Teachers Training College,['Bihar']
M. M. Rahmani B.Ed College,['Bihar']
Rajendra Kishori B.Ed College,['Bihar']
Vidya Niketan Teacher Training College,['Bihar']
Mother's International Teachers' Training Academy,['Bihar']
Mahabodhi Mahavidyalaya,['Bihar']
Sushila Sujata B.Ed. College,['Bihar']
DPSITE Muzaffarpur,['Bihar']
Shams Teachers Training College,['Bihar']
Shaheed Pramod B.Ed. College,['Bihar']
Rural Teacher Training College,['Bihar']
Sukhdeo Narayan lal Bahadur Sita Ram memorial B.Ed College,['Bihar']
Vaishali Institute of Education & Technology,['Bihar']
DIET Banka,['Bihar']
H.D Jain College,['Bihar']
B.N.R. Training College,['Bihar']
Magadh Homoeopathic Medical College,['Bihar']
Dr. Yadubir Sinha Homoeopathic Medical College,['Bihar']
Kent Homeopathic Medical College,['Bihar']
Takshila College of Education,['Bihar']
A.M. College,['Bihar']
BCTE Patna,['Bihar']
Balmiki Teacher`s Training College,['Bihar']
CRK College of Education,['Bihar']
Basundhara Teachers Training College,['Bihar']
Chandrasheel College Of Education Muzaffarpur,['Bihar']
Abul Kalam Minority Teacher s Training College,['Bihar']
S.R.T.T. College,['Bihar']
Gautam Budh Teacher's Training College,['Bihar']
Gyan Bharti Teachers Training College,['Bihar']
Baikunth Teacher's Training,['Bihar']
Kurji Holy Family Hospital,['Bihar']
Jamui BEd College,['Bihar']
"Triveni College of Education (TCE), Nawada",['Bihar']
Solanki B.Ed. Teachers' Training College,['Bihar']
Gautam Teachers Training College,['Bihar']
"Nalanda Mahila Shikshak Prashikshan Mahavidyalaya (NMSPM), Bihar Sharif",['Bihar']
Nalanda Teacher's Training College,['Bihar']
Raghu Saroj Welfare and Charitable Trust,['Bihar']
Siddartha Teacher's Training College,['Bihar']
Bhagwan Prasad Sheonath Prasad B.Ed. College,['Bihar']
Madhavan Memorial College of Education,['Bihar']
Mahatma Gandhi Teacher's Training College,['Bihar']
Khawaja Shahid Hussain Primary Teachers Training College,['Bihar']
St.Teresa s Primary Teacher s Education College,['Bihar']
Rameshwar Laxmi Mahto Teachers Training College,['Bihar']
Ramadhar Singh Teacher Training College,['Bihar']
Bihar College Education,['Bihar']
Licchave College of Teachers Training,['Bihar']
ZHTTC Darbhanga,['Bihar']
"Ram Shrestha Singh College, Teachers' Training Wing",['Bihar']
"Oriental College of Education (OCE), Darbhanga",['Bihar']
"College of Teacher Education (CTE), Saharsa",['Bihar']
D.B.K.N College,['Bihar']
TTC Bhagalpur,['Bihar']
Tapeshwar Singh Teachers' Training College,['Bihar']
Kingway Technical Institute,['Bihar']
Magadh Anm Training School,['Bihar']
K.B. Jha College,['Bihar']
Mahila B.Ed. College,['Bihar']
Shanti Prasad Jain College,['Bihar']
St. Paul Teachers Training College,['Bihar']
L.P. Shahi Institute of Teacher Education,['Bihar']
Surendra B.Ed Teachers Training College,['Bihar']
"Government Teachers Training College (GTTC), Samastipur",['Bihar']
Seemanchal Minority B.Ed. College,['Bihar']
J.P. Shikshak Prashikshan Mahavidyalaya,['Bihar']
Katihar Teachers Training College,['Bihar']
ENWTTC Saharsa,['Bihar']
"Government Teachers Training College (GTTC), Bhagalpur",['Bihar']
Madhepur Teachers Training College,['Bihar']
"Rajendra College (RC), Chhapra",['Bihar']
K.M.D. College,['Bihar']
Magadh College of Education,['Bihar']
Magadh Teacher Training College,['Bihar']
Primary Teacher Training College,['Bihar']
"Bhagwati College Of Education (BCE), Vaishali",['Bihar']
"Al-Hassan Teachers' Training College (AHTTC), Samastipur",['Bihar']
Maa Aranya Devi B.Ed College,['Bihar']
Shri Nityanand Jha College of Education,['Bihar']
Mahatma Gandhi B.ed College,['Bihar']
TPC Madhepura,['Bihar']
"District Institute of Education and Training, Lakhisarai Laheriasarai",['Bihar']
UNIVERSITY DEPARTMENT OF COMPUTER APPLICATION,['Bihar']
Shri Sai College of Nursing & Paramedical,['Bihar']
"FTV School of Performing Arts, Darbhanga",['Bihar']
Lalit Narayan Mithila University (LNMU),['Bihar']
Jinvani Management College,['Bihar']
"Maharani Punam Sahi B.Ed. College, Hathwa",['Bihar']
SWAMI VIVEKANAND PARA MEDICAL COLLEGE,['Bihar']
"S.R.Skt.College,Satouti,Jahanabad",['Bihar']
"Madaneshwarnath Sanskrit College, Madaneshwar Asthan, Madhubani",['Bihar']
"Sidheswari Laxminath Sanskrit.College,Gajahara",['Bihar']
"Subhash Chandra Teachers Training College, Khurda",['Bihar']
KIRAN T T COLLEGE DAHIVAT NAVRATTAN,['Bihar']
"M.M. Lata Sanskrit Vidyapeeth, Lohana, Madhubani",['Bihar']
SRI SHRAVAN KUMAR B.ED AND D.EL.ED COLLEGE,['Bihar']
"V.K.S.College, Rafiganj",['Bihar']
SHAHEED PEER ALI TEACHERS TRAINING COLLEGE,['Bihar']
"L P N Sanskrit College, Baunsi,  Banka",['Bihar']
"RD & DJ College, Munger",['Bihar']
SHAKUNI CHOUDHARY COLLEGE OF EDUCATION,['Bihar']
Srikant Sanskrit Mahavidyalaya Shikshan Kalyan Sansthan,['Bihar']
RAJ MATA MADHURI DEVI TEACHERS TRAINING COLLEGE,['Bihar']
Shyamlal Chandrashekhar Nursing College,['Bihar']
Nazirul Hasan Teachers Training College,['Bihar']
DR KALAM AGRICULTURAL COLLEGE,['Bihar']
SANSKRIT MAHAVIDHYALAY POTHIA KATIHAR BIHAR,['Bihar']
NAGINA DEVI TEACHERS TRAINING COLLEGE,['Bihar']
MAA KAMLA CHANDRIKA JEE MANAGEMENT TRAINING INSITUTE,['Bihar']
"S.N.Sinha College,",['Bihar']
Maa Mundeshwari Sanskrit Mahavidhyalay Mundeshwari Ramgarh,['Bihar']
"Maharana Pratap College, Mohania",['Bihar']
"Jageshwari Kedar Tiwari Prachya Vidyapeeth, Bihar",['Bihar']
Sri Ramchand Ram Laxmi Narayan Teachers Training College,['Bihar']
Sri Ram Suhag Tilak College Of Education,['Bihar']
late kamta prasad sharma B.Ed. college,['Bihar']
Maa Kamla Chandrika Jee Teachers Training College,['Bihar']
PATEL COLLEGE OF EDUCATION,['Bihar']
Prakash Punj Teachers Training College,['Bihar']
"S.S.College,",['Bihar']
SRI RAY BAHADUR RAMCHANDRA RAM LAXMI NARAYAN MANAGEMENT INSITUTE,['Bihar']
"Marwari College, Kishanganj",['Bihar']
B.Ed. Teacher Training College,['Bihar']
"KKM College, Jamui",['Bihar']
"PHALGUNI PRASAD YADAV COLLEGE, CHAKAI",['Bihar']
MAA KAMLA CHANDRIKA JEE VIDYAPEETH,['Bihar']
Digmani B.Ed. College,['Bihar']
Al-Momin College of Education,['Bihar']
LALDHARI MEMORIAL COLLEGE,['Bihar']
M S Y COLLEGE KINZAR MIRZAPUR ARWAL,['Bihar']
"Ramadhin Mishra Bhaskaroday Sanskrit College, Deorahia, Buxar",['Bihar']
G.D. MISHRA INSTITUTE OF HIGHER STUDIES,['Bihar']
PRAHALAD RAI TEACHERS TRAINING COLLEGE,['Bihar']
"MATA MANJHARO AJABDAYAL SINGH TEACHERS TRAINING COLLEGE, DULAOUR, JAGDISHPUR",['Bihar']
Dr. APJ Abdul Kalam Women's Institute of Technology,['Bihar']
FAKHRUDDIN ALI AHMAD TEACHERS TRAINING COLLEGE,['Bihar']
"Government Sanskrit College, Bhagalpur",['Bihar']
Dharikshan Singh Teachers Training College,['Bihar']
J. D. S. DEGREE COLLEGE,['Bihar']
MATA MANJHARO AJAB DAYAL SINGH MAHAVIDYALAYA,['Bihar']
L.K. MISHRA COLLEGE OF TEACHER EDUCATION,['Bihar']
Mithila B.Ed. College,['Bihar']
"MITHILA INSTITUTE OF POST GRADUATE STUDIES AND RESEARCH IN SANSKRIT, DARBHANGA",['Bihar']
"VEER KUNWAR SINGH COLLEGE, JAGDISHPUR, BHOJPUR",['Bihar']
SABHAPATI MISHRA INSTITUTE OF EDUCATION,['Bihar']
Puranmal Bajoria Teachers Training College,['Bihar']
"Sidheshwari Sanskrit College, Pachrukhiya, Bhojpur",['Bihar']
DASHRATH PRASAD RAMNANDAN PANDEY B.Ed COLLEGE,['Bihar']
VIVEKANAND VIPF INSTITUTE OF EDUCATION,['Bihar']
ADWAITA MISSION TRAINING COLLEGE,['Bihar']
RAJMUNI DEVI B.Ed. COLLEGE,['Bihar']
"MAHAMAYA COLLEGE OF EDUCATION VILL-DEVKALI, PO-SARSAULI,PS-OBRA",['Bihar']
DEEPNARAYAN MEMORIAL TEACHER TRAINING COLLEGE,['Bihar']
Tara College of Education,['Bihar']
"SAHEED RAVIKANT MEMORIAL B.Ed. COLLEGE, DALSAGAR, BUXAR",['Bihar']
Z.A.T. T. College. Bahera,['Bihar']
GYAN PRAKASH COLLEGE OF EDUCATION,['Bihar']
JAJBA TEACHER TRAINING COLLEGE,['Bihar']
MAA BAGESHWARI COLLEGE GAYA,['Bihar']
PRAGYA COLLEGE OF PHARMACEUTICAL SCIENCES,['Bihar']
Indrakali Ramjee Singh B.Ed. College,['Bihar']
"Tarkeshwar Prsasad Verma College, Narkatiyaganj",['Bihar']
Gyan Prakash Swami Vivekanand Teachers Training B.Ed. College,['Bihar']
Mahavir Cancer Sansthan,['Bihar']
Maulana Minnatullah Rahmani Technical Institute,['Bihar']
VEDMATI BHABNATH CHAUDHARY COLLEGE OF EDUCATION,['Bihar']
Kamla Bhubneswer B. Ed. College,['Bihar']
"JMS College, Munger",['Bihar']
Heera Lal Roy Teacher Training College,['Bihar']
"RS College, Tarapur",['Bihar']
"Chandradeo Narain College, Sahebganj, Muzaffarpur",['Bihar']
R P S TEACHERS TRAINING COLLEGE,['Bihar']
"PARAMOUNT TEACHERS TRAINING COLLEGE, MUZAFFARPUR",['Bihar']
SAI BABA COLLEGE OF EDUCATION,['Bihar']
Ram Dei Ram Chandra Memorial Shikshan Sansthan,['Bihar']
Shivpari Devi Teacher s Training College,['Bihar']
SIDDIQUE MEMORIAL TEACHER TRAINING COLLEGE,['Bihar']
S S S AGRAWAL PRABHANDHAN EVAM TAKNIKI MAHAVIDYALA,['Bihar']
Dr Trishuldhari Pandey Memorial College of Education,['Bihar']
"S.K.V.M. College, Fatuha",['Bihar']
"Dharma Samaj Sanskrit College, Muzaffarpur",['Bihar']
"ANIMATION ACADEMY, PATNA",['Bihar']
DR. ZAKIR HUSSAIN INSTITUE FOR NON-FORMAL & CONTINUING EDUCATION PATNA,['Bihar']
ROY COLLEGE OF EDUCATION,['Bihar']
"SUSHANT TEACHERS TRAINING COLLEGE, MUZAFFARPUR",['Bihar']
"TRIDENT TEACHERS TRAINING COLLEGE, MUZAFFARPUR",['Bihar']
CHETAN SADHAN INSTITUTE OF SCIENCE AND TECHNOLOGY,['Bihar']
D. P. Singh Institute of Education,['Bihar']
"Shiv Deni Ram Ayodhya Prasad College, Barachakia",['Bihar']
"Shri Rishikul Br. Sanskrit College, Bediban Madhuban, East Champ.",['Bihar']
KANTI DEVI TEACHER TRAINING COLLEGE,['Bihar']
MAA TARA INSTITUTE OF TECHNICAL EDUCATION,['Bihar']
LEELAWATI COLLEGE,['Bihar']
Maxford Teachers Training College,['Bihar']
"P.N.K. College, Achua",['Bihar']
PRATIBHA PALLAVAN TEACHERS TRAINING COLLEGE,['Bihar']
"M.M. Mahila College, Bettiah",['Bihar']
"BSC NURSING COLLEGE, NMCH, PATNA",['Bihar']
"Mahant Shi'vshankar Giri College, Areraj, East Champaran",['Bihar']
"S.M. SHOAIB HASHMI EDUCATION AND WELFARE TRUST GROUP OF INSTITUTION,S.M. SHOAIB HASHMI B.Ed. college",['Bihar']
Bibi Aasia Begum Teachers Training College,['Bihar']
NATIONAL B.ED. COLLEGE OF HIGHER EDUCATION,['Bihar']
DR INDAL SINGH RAM JANKI DEGREE COLLEGE,['Bihar']
MAHATMA BUDDHA TEACHERS TRAINING COLLEGE,['Bihar']
SANT TAPASVI NARAYAN DAS SHIKSHAN SANSTHAN,['Bihar']
Nezamia College of Education,['Bihar']
Maa Vidya Maa Kusum Teachers Training College,['Bihar']
MATA SITA SUNDER COLLEGE OF EDUCATION VILLAGE DHANHARA PO MANIK CHOWK PS RUNNI SAIDPUR,['Bihar']
MAHESHWAR PRASAD SHAHI COLLEGE SITAMARHI,['Bihar']
"Sri Laxmi Kishori College, Sitamarhi",['Bihar']
"S.M.D. College, Punpun",['Bihar']
DIVINE INSTITUTE OF MANAGEMENT AND STUDIES,['Bihar']
"Sri Gadadhar Acharya Janta College, Rambagh, Bihta",['Bihar']
"Subhwanti Institute of Education, Siwan",['Bihar']
"TRIMURTI  MAHAVIDYALAYA, ISMAILPUR, PATNA",['Bihar']
PRATIK COLLEGE OF EDUCATION,['Bihar']
R.S SHARDA DEVI EDUCATION COLLEGE,['Bihar']
Bhuvan Malti Teachers Training College,['Bihar']
INDU DEVI RANJEET KUMAR PRAKASH COLLEGE,['Bihar']
INDU DEVI RANJEET KUMAR PRAKASH PROFESSIONAL COLLEGE,['Bihar']
RAM BARAN RAY B.ED. COLLEGE,['Bihar']
J.R.A. Teachers Training College,['Bihar']
RAM LAGAN RAY DEGREE COLLEGE RAJAPAKAR VAISHALI,['Bihar']
RAM SHARAN ROY COLLEGE OF PHARMACY,['Bihar']
VISHUN RAJDEO TEACHERS TRAINING COLLEGE,['Bihar']
RAM SHARAN ROY COLLEGE PANAPUR MAKKANPUR,['Bihar']
"S.N.S. College, Hajipur",['Bihar']
"Muniswar Singh Muneswari Samta Mahavidyalaya, Jandaha,",['Bihar']
Janardan Prasad Singh Teachers Training College,['Bihar']
"Purvottar  Railway College,Sonpur",['Bihar']
SONAWATI COLLEGE OF EDUCATION,['Bihar']
NAGEENA RAMDHYAN SHIKSHAK SHIKSHA MAHAVIDYALAYA,['Bihar']
"R.S. College, Tilouthu",['Bihar']
Millia Kaniz Fatma Womens Teachers Training College,['Bihar']
"M.F.A.A.T.T. College, Rambagh",['Bihar']
"Sidheshwar College of Teachers Education, Meyari, Bazar, Rohtas",['Bihar']
Sub Divisional Govt Degree College Baisi  Purnea,['Bihar']
"B.ED. COLLEGE PARSATHUA, ROHTAS",['Bihar']
"College of Community  Science,Pusa",['Bihar']
SRI UMESH MISHRA RANJEET KUMAR PRAKASH COLLEGE,['Bihar']
"SWADESHI COLLEGE OF EDUCATION, PURNEA",['Bihar']
"Purnia Mahila College, Purnia",['Bihar']
"I.D.B.P.S.College, Garh Nokha",['Bihar']
FDDI Patna,['Bihar']
MMHAPU,['Bihar']
"Kameshwar Singh Darbhanga Sanskrit University
                        , Darbhanga",['Bihar']
Bihar College of Physiotherapy and Occupational Therapy,['Bihar']
St. Joseph S Mishri Singh Vishwamohinee Memorial Teachers Training College,['Bihar']
"Oxford Business College, Patna",['Bihar']
Institute of Administrative Studies,['Bihar']
"Shri Phanishwar Nath Renu Engineering College, Araria",['Bihar']
GOVERNMENT ENGINEERING COLLEGE ARWAL,['Bihar']
"R.C.S. college, Kurtha",['Bihar']
"Government Engineering College, Banka",['Bihar']
"D D COLLEGE,DHANUPRA,BHOJPUR",['Bihar']
"S.S.B.M. College, Jagdishpur",['Bihar']
"MANUU POLYTECHNIC, DARBHANGA",['Bihar']
GOVERNMENT ENGINEERING COLLEGE JEHANABAD,['Bihar']
